385,647,253,96,1062,683,361,496,622,290,853,409,398,213,560,845,318,712,254,562,1178,2014,371,525,269,1094,251,574,502,1059,509,808,835,623,408,1118,673,343,216,707,396,339,592,564,957,486,346,410,178,255,380,1716,1480,131,475,626,311,535,692,629,226,592,403,311,356,1027,680,328,831,243,281,803,496,709,181,510,511,194,398,602,207,383,544,604,381,693,715,328,1146,924,148,345,252,736,474,778,449,260,371,187,1179,230,624,392,380,293,473,1181,499,999,1496,958,337,701,395,308,287,1590,1029,482,1229,840,525,214,1085,321,508,298,411,166,408,365,343,828,531,359,468,552,1090,528,505,368,219,340,315,625,472,252,192,271,233,269,171,458,567,601,173,730,233,336,459,636,256,545,620,1123,1108,296,192,461,481,137,921,848,266,337,555,754,325,800,685,714,814,1022,1252,219,590,812,374,270,546,762,465,227,1470,598,270,729,939,572,385,518,468,396,268,623,727,160,445,345,730,949,130,830,221,864,150,550,331,644,398,216,220,607,314,449,627,710,1264,517,1054,453,401,260,218,316,201,559,1161,2150,612,178,106,320,564,1569,231,321,929,912
AVERAGE,557.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STD,341.4878477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
