Training 1,Training 2,Training 3,Training 4,Training 5,Average,Min ,Max
58,202,366,190,147,192.6,58,366
39,141,322,243,281,205.2,39,322
26,290,396,117,641,294,26,641
83,136,198,462,541,284,83,541
24,47,175,368,492,221.2,24,492
66,74,266,654,185,249,66,654
54,123,166,366,419,225.6,54,419
143,83,361,161,467,243,83,467
51,27,267,198,336,175.8,27,336
57,41,165,452,729,288.8,41,729
33,120,178,426,936,338.6,33,936
63,94,308,169,510,228.8,63,510
42,60,73,331,359,173,42,359
37,104,444,365,371,264.2,37,444
77,86,206,376,349,218.8,77,376
31,69,354,276,617,269.4,31,617
46,96,255,134,1003,306.8,46,1003
84,79,202,314,425,220.8,79,425
83,143,251,145,665,257.4,83,665
47,31,174,247,400,179.8,31,400
69,156,199,636,376,287.2,69,636
