Training 1,Training 2,Training 3,Training 4,Training 5,Average,Min ,Max
218,64,75,101,162,124,64,218
26,51,93,302,177,129.8,26,302
39,64,67,137,568,175,39,568
35,52,60,153,155,91,35,155
28,46,61,146,299,116,28,299
32,79,128,93,389,144.2,32,389
26,78,104,135,224,113.4,26,224
27,51,88,188,378,146.4,27,378
50,64,134,159,444,170.2,50,444
28,65,133,214,614,210.8,28,614
42,30,68,127,230,99.4,30,230
58,75,47,138,350,133.6,47,350
47,35,67,254,149,110.4,35,254
18,44,60,202,482,161.2,18,482
23,31,150,239,158,120.2,23,239
25,72,199,78,393,153.4,25,393
101,48,170,144,333,159.2,48,333
20,64,111,118,281,118.8,20,281
24,81,95,104,230,106.8,24,230
